,LUMN
% Above Low,0.0282
% Held by Institutions,0.7478
52-Wk Range,['5.68 - 13.93']
Annual Dividend $,1.0
Annual Dividend %,0.17120000000000002
Ask,5.84
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,5.75
Bid Size,100.0
Change Since Close,0.03| |(0.51%)
Closing Price,5.84
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-09 00:00:00
"EPS (TTM, GAAP)",2.0
Ex-dividend,2022-08-29 00:00:00
Ex-dividend Date,08/29/22
Historical Volatility,0.47600000000000003
Last (size),90.0
Last (time),5:00p ET 11/25/22
Last Trade,5.87
Market Cap,6.0B
"P/E Ratio (TTM, GAAP)",2.92
Prev Close,5.84
Shares Outstanding,1.0B
Short Interest,0.1419
Today's Open,
Volume,105.0
Volume 10-day Avg,19954719.0
Volume Past Day,(Light)
