,HFWA
Price/Earnings (TTM),14.90166
Price/Sales (TTM),4.90356
Price/Book (MRQ),1.49646
Price/Cash Flow (TTM),
5yr Low,14.65
5yr High,37.4
5yr Avg Return,0.016483333333333336
EPS Growth 5yr,0.1597941
Revenue Growth 5yr,0.08970639999999999
Dividend Growth 5yr,0.1150066
Short Int Current Month,939672.0
Short Int Prev Month,939827.0
Short Int Pct of Float,0.027264
Days to Cover,4.19423
Float,34.49897
Shares Outstanding,35.10425
Institutions Holding Shares,213.0
% Held by Institutions,0.782007
FCF Growth 5yr,0.7558118498417006
