,HFWA
% Below High,0.0358
% Held by Institutions,0.782
52-Wk Range,['20.95 - 34.34']
Annual Dividend $,0.84
Annual Dividend %,0.0254
Ask,34.4
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.6
Bid,13.2
Bid Size,200.0
Closing Price,33.11
Day Change $,0.16
Day Change %,0.0049
Day High,33.34
Day Low,32.88
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",2.22
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.265
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",14.9
Prev Close,32.95
Shares Outstanding,35.1M
Short Interest,0.0273
Today's Open,33.16
Volume,58864.0
Volume 10-day Avg,182956.0
Volume Past Day,(Light)
