,CFG
% Above Low,0.2834
% Held by Institutions,0.9042
52-Wk Range,['32.66 - 57.00']
Annual Dividend $,1.68
Annual Dividend %,0.0401
Ask,45.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,38.5
Bid Size,100.0
Closing Price,41.91
Day Change $,0.35
Day Change %,0.0084
Day High,42.09
Day Low,41.75
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.363
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,20.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.48
Prev Close,41.56
Shares Outstanding,492.5M
Short Interest,0.015
Today's Open,41.75
Volume,1304218.0
Volume 10-day Avg,3213458.0
Volume Past Day,(Light)
