,CFG
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.19367588932806312
Growth 1yr High Est,-0.15760869565217384
Growth 1yr Consensus Est,-0.17564229249011848
Growth 2yr Low Est,-0.06987716035030606
Growth 2yr High Est,0.017969845722300093
Growth 2yr Consensus Est,-0.02595365731400298
Growth 5yr Low Est,0.24113624975681966
Growth 5yr High Est,0.26147412014503857
Growth 5yr Consensus Est,0.25130518495092913
Growth 5yr Actual/Est,0.23848027858041443
Growth 3yr Historic,0.22675037241966373
