,PFGC
% Below High,0.022400000000000003
% Held by Institutions,1.0103
52-Wk Range,['38.23 - 59.87']
Annual Dividend $,
Annual Dividend %,
Ask,58.6
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,58.53
Bid Size,200.0
Day Change $,0.12
Day Change %,0.0021
Day High,58.68
Day Low,57.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.31
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),130.0
Last (time),10:37a ET 11/28/22
Market Cap,9.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.52
Prev Close,58.41
Price,58.53
Shares Outstanding,155.7M
Short Interest,0.0192
Today's Open,57.81
Volume Past Day,(Light)
