,PFGC
Price/Earnings (TTM),44.51507
Price/Sales (TTM),0.16464
Price/Book (MRQ),2.64508
Price/Cash Flow (TTM),13.15517
5yr Low,7.41
5yr High,59.89
5yr Avg Return,0.14486666666666667
EPS Growth 5yr,-0.0447079
Revenue Growth 5yr,0.2487323
Dividend Growth 5yr,
Short Int Current Month,2898190.0
Short Int Prev Month,3962304.0
Short Int Pct of Float,0.019174
Days to Cover,2.05337
Float,152.4545
Shares Outstanding,155.6729
Institutions Holding Shares,431.0
% Held by Institutions,1.010264
FCF Growth 5yr,1.5699222115075537
