,PFGC
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,1.0114285714285716
Growth 1yr High Est,0.5632183908045978
Growth 1yr Consensus Est,0.7873234811165847
Growth 2yr Low Est,0.4304301948051949
Growth 2yr High Est,0.43969743069641654
Growth 2yr Consensus Est,0.43506381275080575
Growth 5yr Low Est,0.8650784632034633
Growth 5yr High Est,0.5681898955225527
Growth 5yr Consensus Est,0.716634179363008
Growth 5yr Actual/Est,0.6072314072314072
Growth 3yr Historic,0.46362433862433866
