,RSG
Price/Earnings (TTM),29.87935
Price/Sales (TTM),3.34448
Price/Book (MRQ),4.55791
Price/Cash Flow (TTM),15.58486
5yr Low,60.26
5yr High,149.17
5yr Avg Return,0.14901666666666666
EPS Growth 5yr,0.1782976
Revenue Growth 5yr,0.0376847
Dividend Growth 5yr,0.07726530000000001
Short Int Current Month,1939759.0
Short Int Prev Month,1850245.0
Short Int Pct of Float,0.006154199999999999
Days to Cover,1.31533
Float,315.199
Shares Outstanding,316.0009
Institutions Holding Shares,1281.0
% Held by Institutions,0.9424469999999999
FCF Growth 5yr,0.43597007969704854
