,RSG
% Below High,0.083
% Held by Institutions,0.9423999999999999
52-Wk Range,['113.57 - 149.17']
Annual Dividend $,1.98
Annual Dividend %,0.014499999999999999
Ask,136.81
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,136.74
Bid Size,100.0
Day Change $,-0.0851
Day Change %,-0.0006
Day High,138.02
Day Low,136.2
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",4.58
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.23199999999999998
Last (size),777.0
Last (time),1:20p ET 11/28/22
Market Cap,43.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.88
Prev Close,136.88
Price,136.79
Shares Outstanding,316.0M
Short Interest,0.0062
Today's Open,136.37
Volume Past Day,(Light)
