,RSG
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.11735941320293408
Growth 1yr High Est,0.1536643026004727
Growth 1yr Consensus Est,0.1355118579017034
Growth 2yr Low Est,0.04555060375682807
Growth 2yr High Est,0.1352337906444987
Growth 2yr Consensus Est,0.09039219720066338
Growth 5yr Low Est,0.08546643337688498
Growth 5yr High Est,0.13048671780745646
Growth 5yr Consensus Est,0.10797657559217072
Growth 5yr Actual/Est,0.10905309535927743
Growth 3yr Historic,0.059304144519948865
