,OZK
% Below High,0.0989
% Held by Institutions,0.7748999999999999
52-Wk Range,['34.79 - 51.39']
Annual Dividend $,1.32
Annual Dividend %,0.027999999999999997
Ask,46.43
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,46.24
Bid Size,200.0
Day Change $,-0.771
Day Change %,-0.016399999999999998
Day High,46.83
Day Low,46.3
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",4.37
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.325
Last (size),300.0
Last (time),9:55a ET 11/28/22
Market Cap,5.4B
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,47.08
Price,46.31
Shares Outstanding,117.6M
Short Interest,0.0334
Today's Open,46.71
Volume Past Day,(Light)
