,OZK
Price/Earnings (TTM),10.78204
Price/Sales (TTM),5.08034
Price/Book (MRQ),1.31991
Price/Cash Flow (TTM),13.83213
5yr Low,14.2
5yr High,53.7
5yr Avg Return,0.05725
EPS Growth 5yr,0.1161588
Revenue Growth 5yr,0.10087600000000001
Dividend Growth 5yr,0.12444839999999999
Short Int Current Month,4038203.0
Short Int Prev Month,4774945.0
Short Int Pct of Float,0.0333933
Days to Cover,5.37364
Float,127.5343
Shares Outstanding,128.7119
Institutions Holding Shares,467.0
% Held by Institutions,0.774923
FCF Growth 5yr,0.08998617804106374
