,OZK
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.04952830188679247
Growth 1yr High Est,0.05034324942791746
Growth 1yr Consensus Est,0.049935775657354964
Growth 2yr Low Est,0.07195516217935127
Growth 2yr High Est,0.18965964214315256
Growth 2yr Consensus Est,0.13080740216125192
Growth 5yr Low Est,0.1101366024964035
Growth 5yr High Est,0.1758904271321824
Growth 5yr Consensus Est,0.14301351481429295
Growth 5yr Actual/Est,0.20727526870505386
Growth 3yr Historic,0.1656811477607938
