,CNDT
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.5970149253731343
Growth 1yr High Est,-0.6056338028169014
Growth 1yr Consensus Est,-0.6013243640950179
Growth 2yr Low Est,-0.3170259812050857
Growth 2yr High Est,-0.2849597585513079
Growth 2yr Consensus Est,-0.3009928698781968
Growth 5yr Low Est,-0.13741084006490845
Growth 5yr High Est,-0.11321502271827691
Growth 5yr Consensus Est,-0.12531293139159272
Growth 5yr Actual/Est,-0.12536109773712079
Growth 3yr Historic,0.020161290322580683
