,CNDT
% Above Low,0.2523
% Held by Institutions,0.7898999999999999
52-Wk Range,['3.29 - 6.32']
Annual Dividend $,
Annual Dividend %,
Ask,4.22
Ask Size,200.0
B/A Ratio,7.5
B/A Size,1500x200
Beta,1.7
Bid,4.0
Bid Size,1500.0
Closing Price,4.12
Day Change $,0.08
Day Change %,0.019799999999999998
Day High,4.19
Day Low,4.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.44
Ex-dividend Date,No dividend
Historical Volatility,0.485
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,889.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.31
Prev Close,4.04
Shares Outstanding,215.9M
Short Interest,0.015700000000000002
Today's Open,4.04
Volume,456498.0
Volume 10-day Avg,893278.0
Volume Past Day,(Light)
