,CNDT
Price/Earnings (TTM),9.31094
Price/Sales (TTM),0.22694
Price/Book (MRQ),0.73724
Price/Cash Flow (TTM),2.49885
5yr Low,1.54
5yr High,23.39
5yr Avg Return,-0.1764
EPS Growth 5yr,
Revenue Growth 5yr,-0.0836623
Dividend Growth 5yr,
Short Int Current Month,3216344.0
Short Int Prev Month,4245400.0
Short Int Pct of Float,0.0157114
Days to Cover,2.55662
Float,204.7554
Shares Outstanding,215.9202
Institutions Holding Shares,289.0
% Held by Institutions,0.789862
FCF Growth 5yr,-0.31888597513597516
