,GRMN
Price/Earnings (TTM),18.22267
Price/Sales (TTM),3.52981
Price/Book (MRQ),2.97775
Price/Cash Flow (TTM),15.45031
5yr Low,57.01
5yr High,178.81
5yr Avg Return,0.10123333333333333
EPS Growth 5yr,0.1544118
Revenue Growth 5yr,0.10345449999999999
Dividend Growth 5yr,0.0513183
Short Int Current Month,2041384.0
Short Int Prev Month,2313282.0
Short Int Pct of Float,0.0133317
Days to Cover,2.63356
Float,153.3823
Shares Outstanding,191.6639
Institutions Holding Shares,916.0
% Held by Institutions,0.541603
FCF Growth 5yr,0.005750063889598718
