,RUN
Price/Earnings (TTM),109.9431
Price/Sales (TTM),3.14471
Price/Book (MRQ),1.01964
Price/Cash Flow (TTM),
5yr Low,5.08
5yr High,100.93
5yr Avg Return,0.7538333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2753798
Dividend Growth 5yr,
Short Int Current Month,31051838.0
Short Int Prev Month,31672606.0
Short Int Pct of Float,0.15175929999999999
Days to Cover,2.64158
Float,204.6441
Shares Outstanding,213.1037
Institutions Holding Shares,653.0
% Held by Institutions,0.9001649999999999
FCF Growth 5yr,0.25883801235847637
