,RUN
% Above Low,0.8482
% Held by Institutions,0.9002
52-Wk Range,['16.80 - 48.50']
Annual Dividend $,
Annual Dividend %,
Ask,31.05
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.2
Bid,31.04
Bid Size,200.0
Day Change $,-0.64
Day Change %,-0.0202
Day High,31.53
Day Low,30.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.29
Ex-dividend Date,No dividend
Historical Volatility,0.918
Last (size),13.0
Last (time),1:22p ET 11/28/22
Market Cap,6.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",109.94
Prev Close,31.69
Price,31.05
Shares Outstanding,213.1M
Short Interest,0.1518
Today's Open,31.22
Volume Past Day,(Light)
