,DYN
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.22389
Price/Cash Flow (TTM),
5yr Low,4.3
5yr High,32.32
5yr Avg Return,-0.19853333333333334
Short Int Current Month,2848701.0
Short Int Prev Month,2777991.0
Short Int Pct of Float,0.0553106
Days to Cover,15.89021
Float,51.52924
Shares Outstanding,52.12689
Institutions Holding Shares,154.0
% Held by Institutions,0.86358
FCF Growth 5yr,0.18184399530691664
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
