,DYN
% Below High,0.318
% Held by Institutions,0.8636
52-Wk Range,['4.30 - 15.69']
Annual Dividend $,
Annual Dividend %,
Ask,13.1
Ask Size,500.0
B/A Ratio,6.0
B/A Size,3000x500
Beta,
Bid,6.0
Bid Size,3000.0
Closing Price,10.7
Day Change $,0.2
Day Change %,0.019
Day High,10.93
Day Low,10.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.51
Ex-dividend Date,No dividend
Historical Volatility,0.833
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,559.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.5
Shares Outstanding,52.1M
Short Interest,0.0553
Today's Open,10.5
Volume,57855.0
Volume 10-day Avg,188855.0
Volume Past Day,(Light)
