,ICFI
Price/Earnings (TTM),31.31705
Price/Sales (TTM),1.23519
Price/Book (MRQ),2.49388
Price/Cash Flow (TTM),19.03072
5yr Low,47.75
5yr High,121.28
5yr Avg Return,0.14546666666666666
EPS Growth 5yr,0.0916456
Revenue Growth 5yr,0.055568
Dividend Growth 5yr,
Short Int Current Month,334160.0
Short Int Prev Month,371624.0
Short Int Pct of Float,0.018206899999999998
Days to Cover,2.17688
Float,18.35715
Shares Outstanding,18.84389
Institutions Holding Shares,299.0
% Held by Institutions,0.957019
FCF Growth 5yr,-0.16150125596619072
