,ICFI
% Below High,0.08529999999999999
% Held by Institutions,0.9570000000000001
52-Wk Range,['84.68 - 121.28']
Annual Dividend $,0.56
Annual Dividend %,0.005
Ask,174.18
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,44.52
Bid Size,200.0
Closing Price,110.93
Day Change $,0.37
Day Change %,0.0033
Day High,112.12
Day Low,109.96
Dividend Pay Date,2023-01-12 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.292
Last (size),55.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.32
Prev Close,110.56
Shares Outstanding,18.8M
Short Interest,0.0182
Today's Open,109.96
Volume,22795.0
Volume 10-day Avg,86863.0
Volume Past Day,(Light)
