,ICFI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.20416666666666683
Growth 1yr High Est,0.2058212058212059
Growth 1yr Consensus Est,0.20499393624393636
Growth 2yr Low Est,0.10554354094579022
Growth 2yr High Est,0.13135887877267194
Growth 2yr Consensus Est,0.11845120985923108
Growth 5yr Low Est,0.09192839697891919
Growth 5yr High Est,0.09928792995237368
Growth 5yr Consensus Est,0.09560816346564643
Growth 5yr Actual/Est,0.09825686826204705
Growth 3yr Historic,0.04017364421715641
