,NSC
Price/Earnings (TTM),18.5684
Price/Sales (TTM),4.72619
Price/Book (MRQ),4.48523
Price/Cash Flow (TTM),13.12712
5yr Low,112.62
5yr High,299.2
5yr Avg Return,0.12798333333333337
EPS Growth 5yr,0.16592669999999998
Revenue Growth 5yr,0.0241674
Dividend Growth 5yr,0.120047
Short Int Current Month,2786120.0
Short Int Prev Month,3413027.0
Short Int Pct of Float,0.0120495
Days to Cover,1.99119
Float,231.2235
Shares Outstanding,231.5142
Institutions Holding Shares,1862.0
% Held by Institutions,0.7301949999999999
FCF Growth 5yr,0.32742085748748523
