,NSC
% Below High,0.1567
% Held by Institutions,0.7302
52-Wk Range,['203.65 - 299.20']
Annual Dividend $,4.96
Annual Dividend %,0.0197
Ask,259.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,250.42
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,252.32
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",13.59
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.29
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,252.32
Market Cap,58.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.57
Prev Close,252.32
Shares Outstanding,231.5M
Short Interest,0.012
Today's Open,
Volume,2.0
Volume 10-day Avg,1180060.0
Volume Past Day,(Light)
