,MTW
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.7175141242937852
Growth 1yr High Est,-0.6844660194174756
Growth 1yr Consensus Est,-0.7009900718556304
Growth 2yr Low Est,-0.6787570621468926
Growth 2yr High Est,-0.2037714712471994
Growth 2yr Consensus Est,-0.441264266697046
Growth 5yr Low Est,-0.3393785310734463
Growth 5yr High Est,-0.1018857356235997
Growth 5yr Consensus Est,-0.220632133348523
Growth 5yr Actual/Est,-1.2687313996241862
Growth 3yr Historic,-1.1605820105820106
