,MTW
Price/Earnings (TTM),20.39395
Price/Sales (TTM),0.17807
Price/Book (MRQ),0.53873
Price/Cash Flow (TTM),4.13483
5yr Low,7.24
5yr High,44.03
5yr Avg Return,-0.12753333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0129396
Dividend Growth 5yr,
Short Int Current Month,841116.0
Short Int Prev Month,914713.0
Short Int Pct of Float,0.024608599999999998
Days to Cover,3.97015
Float,34.20938
Shares Outstanding,35.18455
Institutions Holding Shares,196.0
% Held by Institutions,0.7315590000000001
FCF Growth 5yr,1.1346542974764275
