,MTW
% Above Low,0.2829
% Held by Institutions,0.7315999999999999
52-Wk Range,['7.53 - 20.55']
Annual Dividend $,
Annual Dividend %,
Ask,10.48
Ask Size,400.0
B/A Ratio,3.75
B/A Size,1500x400
Beta,2.1
Bid,9.65
Bid Size,1500.0
Change Since Close,-0.01| |(-0.10%)
Closing Price,9.66
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),16.0
Last (time),5:00p ET 11/25/22
Last Trade,9.65
Market Cap,339.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.39
Prev Close,9.66
Shares Outstanding,35.2M
Short Interest,0.0246
Today's Open,
Volume,500.0
Volume 10-day Avg,183768.0
Volume Past Day,(Light)
