,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,2.17,,,2.12,,2.25,,2.185,2.17,,
Year ending 12/2020,Neutral,2.73,,0.25806451612903225,2.68,0.26415094339622636,2.77,0.23111111111111104,2.725,2.73,0.25806451612903225,0.2476310272536687
Year ending 12/2021,Neutral,4.72,,0.7289377289377288,4.5,0.6791044776119401,4.56,0.6462093862815883,4.529999999999999,4.72,0.7289377289377288,0.6626569319467642
Year ending 12/2022,Neutral,,5.19,0.0,5.16,0.14666666666666672,5.21,0.14254385964912286,5.19,5.19,0.09957627118644075,0.1446052631578948
Year ending 12/2023,Neutral,,4.29,0.0,3.65,-0.29263565891472876,4.67,-0.10364683301343569,4.29,4.29,-0.17341040462427748,-0.19814124596408222
