,KNX
Price/Earnings (TTM),10.2596
Price/Sales (TTM),1.1698
Price/Book (MRQ),1.28911
Price/Cash Flow (TTM),5.75449
5yr Low,23.27
5yr High,62.29
5yr Avg Return,0.09848333333333331
EPS Growth 5yr,0.3095164
Revenue Growth 5yr,0.3992991
Dividend Growth 5yr,
Short Int Current Month,10046357.0
Short Int Prev Month,9920701.0
Short Int Pct of Float,0.0695691
Days to Cover,4.23908
Float,144.5487
Shares Outstanding,160.696
Institutions Holding Shares,671.0
% Held by Institutions,0.925678
FCF Growth 5yr,0.10644885235360498
