,KNX
% Below High,0.1233
% Held by Institutions,0.9257
52-Wk Range,['42.50 - 62.29']
Annual Dividend $,0.48
Annual Dividend %,0.0088
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,54.21
Bid Size,
Closing Price,54.61
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",5.32
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.342
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,8.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.26
Prev Close,54.61
Shares Outstanding,160.7M
Short Interest,0.0696
Today's Open,
Volume,374941.0
Volume 10-day Avg,2393433.0
Volume Past Day,(Light)
