,HEAR
% Above Low,0.49520000000000003
% Held by Institutions,0.6799
52-Wk Range,['6.22 - 28.48']
Annual Dividend $,
Annual Dividend %,
Ask,9.75
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,8.9
Bid Size,200.0
Closing Price,9.3
Day Change $,0.02
Day Change %,0.0022
Day High,9.34
Day Low,9.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,0.8109999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,154.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,9.28
Shares Outstanding,16.6M
Short Interest,0.0969
Today's Open,9.24
Volume,32936.0
Volume 10-day Avg,261369.0
Volume Past Day,(Light)
