,HEAR
Price/Earnings (TTM),
Price/Sales (TTM),0.61915
Price/Book (MRQ),1.40839
Price/Cash Flow (TTM),
5yr Low,1.64
5yr High,38.7
5yr Avg Return,1.1619666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1605967
Dividend Growth 5yr,
Short Int Current Month,1492324.0
Short Int Prev Month,1558358.0
Short Int Pct of Float,0.09689600000000001
Days to Cover,3.74164
Float,15.40632
Shares Outstanding,16.55696
Institutions Holding Shares,146.0
% Held by Institutions,0.67988
FCF Growth 5yr,1.3567984564989077
