,OOMA
% Above Low,0.46490000000000004
% Held by Institutions,0.8081
52-Wk Range,['10.82 - 21.89']
Annual Dividend $,
Annual Dividend %,
Ask,15.97
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,15.6
Bid Size,100.0
Closing Price,15.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.04
Ex-dividend Date,No dividend
Historical Volatility,0.42700000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,385.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.85
Shares Outstanding,24.3M
Short Interest,0.0337
Today's Open,
Volume,24531.0
Volume 10-day Avg,45798.0
Volume Past Day,(Light)
