,OOMA
Price/Earnings (TTM),
Price/Sales (TTM),1.90058
Price/Book (MRQ),6.60643
Price/Cash Flow (TTM),101.2234
5yr Low,7.45
5yr High,24.89
5yr Avg Return,0.09313333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.129661
Dividend Growth 5yr,
Short Int Current Month,758782.0
Short Int Prev Month,863838.0
Short Int Pct of Float,0.0336605
Days to Cover,10.96268
Float,22.54141
Shares Outstanding,24.3
Institutions Holding Shares,139.0
% Held by Institutions,0.808055
FCF Growth 5yr,-0.7271726278714468
