,IEX
% Below High,0.015300000000000001
% Held by Institutions,1.0151000000000001
52-Wk Range,['172.19 - 240.33']
Annual Dividend $,2.4
Annual Dividend %,0.0101
Ask,237.35
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,236.66
Day Change $,1.26
Day Change %,0.0054
Day High,237.78
Day Low,233.71
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",7.56
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.266
Last (size),1900.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.3
Prev Close,235.4
Shares Outstanding,75.4M
Short Interest,0.013600000000000001
Today's Open,234.69
Volume,132039.0
Volume 10-day Avg,323511.0
Volume Past Day,(Light)
