,IEX
Price/Earnings (TTM),31.30059
Price/Sales (TTM),5.78392
Price/Book (MRQ),6.37733
Price/Cash Flow (TTM),25.80578
5yr Low,104.56
5yr High,240.33
5yr Avg Return,0.1115
EPS Growth 5yr,0.1073982
Revenue Growth 5yr,0.0552396
Dividend Growth 5yr,0.09609
Short Int Current Month,1023672.0
Short Int Prev Month,925839.0
Short Int Pct of Float,0.0136176
Days to Cover,2.80259
Float,75.17479
Shares Outstanding,75.42111
Institutions Holding Shares,824.0
% Held by Institutions,1.0150839999999999
FCF Growth 5yr,0.5891937669376694
