,IEX
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.6067864271457089
Growth 1yr High Est,0.5555555555555556
Growth 1yr Consensus Est,0.5811709913506322
Growth 2yr Low Est,0.30463544959769917
Growth 2yr High Est,0.33504378762999465
Growth 2yr Consensus Est,0.3198396186138469
Growth 5yr Low Est,0.11826600066091855
Growth 5yr High Est,0.14098079792458637
Growth 5yr Consensus Est,0.12962339929275246
Growth 5yr Actual/Est,0.11227763671885743
Growth 3yr Historic,0.054631752043053594
