,HNST
% Above Low,0.126
% Held by Institutions,0.5602
52-Wk Range,['2.54 - 8.85']
Annual Dividend $,
Annual Dividend %,
Ask,2.94
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,2.83
Bid Size,100.0
Closing Price,2.86
Day Change $,0.12
Day Change %,0.0438
Day High,2.87
Day Low,2.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.4
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,265.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.74
Shares Outstanding,92.7M
Short Interest,0.04
Today's Open,2.73
Volume,497793.0
Volume 10-day Avg,1175387.0
Volume Past Day,(Light)
