,HNST
Price/Earnings (TTM),
Price/Sales (TTM),0.84903
Price/Book (MRQ),1.7075
Price/Cash Flow (TTM),
5yr Low,2.54
5yr High,23.88
5yr Avg Return,-0.6341500000000001
Short Int Current Month,2897632.0
Short Int Prev Month,3070415.0
Short Int Pct of Float,0.0399505
Days to Cover,2.64839
Float,85.32806
Shares Outstanding,92.67289
Institutions Holding Shares,162.0
% Held by Institutions,0.560219
FCF Growth 5yr,0.3773177727834714
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
