,SRCE
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.02807775377969768
Growth 1yr High Est,0.05020920502092041
Growth 1yr Consensus Est,0.039143479400309045
Growth 2yr Low Est,-0.05003675336225194
Growth 2yr High Est,0.05797312840687452
Growth 2yr Consensus Est,0.0039681875223112895
Growth 5yr Low Est,0.04561874243244743
Growth 5yr High Est,0.10909706144100634
Growth 5yr Consensus Est,0.07735790193672688
Growth 5yr Actual/Est,0.09812736351539933
Growth 3yr Historic,0.09265125608603067
