,SRCE
% Below High,0.0622
% Held by Institutions,0.7445
52-Wk Range,['42.29 - 59.94']
Annual Dividend $,1.28
Annual Dividend %,0.022400000000000003
Ask,56.41
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.0
Bid,56.21
Bid Size,100.0
Day Change $,-0.85
Day Change %,-0.0149
Day High,56.99
Day Low,56.21
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",4.7
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.278
Last (size),2.0
Last (time),3:09p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.13
Prev Close,57.06
Price,56.21
Shares Outstanding,24.7M
Short Interest,0.0084
Today's Open,56.99
Volume Past Day,(Light)
