,SRCE
Price/Earnings (TTM),12.13307
Price/Sales (TTM),4.09123
Price/Book (MRQ),1.70319
Price/Cash Flow (TTM),10.4686
5yr Low,26.07
5yr High,59.94
5yr Avg Return,0.034166666666666665
EPS Growth 5yr,0.1620075
Revenue Growth 5yr,0.0584704
Dividend Growth 5yr,0.1094062
Short Int Current Month,189467.0
Short Int Prev Month,242540.0
Short Int Pct of Float,0.0083845
Days to Cover,4.32031
Float,22.59801
Shares Outstanding,24.65718
Institutions Holding Shares,189.0
% Held by Institutions,0.7445080000000001
FCF Growth 5yr,0.2631018603419117
