,GPRO
Price/Earnings (TTM),11.89684
Price/Sales (TTM),0.74234
Price/Book (MRQ),1.28298
Price/Cash Flow (TTM),9.88891
5yr Low,2.0
5yr High,13.79
5yr Avg Return,0.0175
EPS Growth 5yr,
Revenue Growth 5yr,-0.0041503
Dividend Growth 5yr,
Short Int Current Month,8319451.0
Short Int Prev Month,9278748.0
Short Int Pct of Float,0.0650351
Days to Cover,2.96504
Float,127.8897
Shares Outstanding,155.927
Institutions Holding Shares,258.0
% Held by Institutions,0.649994
FCF Growth 5yr,-0.7072734785474363
