,GPRO
% Above Low,0.2311
% Held by Institutions,0.65
52-Wk Range,['4.50 - 11.59']
Annual Dividend $,
Annual Dividend %,
Ask,5.61
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.2
Bid,5.42
Bid Size,1000.0
Closing Price,5.54
Day Change $,0.1
Day Change %,0.0184
Day High,5.54
Day Low,5.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.47500000000000003
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,863.8M
"P/E Ratio (TTM, GAAP)",11.9
Prev Close,5.44
Shares Outstanding,155.9M
Short Interest,0.065
Today's Open,5.41
Volume,880276.0
Volume 10-day Avg,1721443.0
Volume Past Day,(Light)
