,GPRO
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,8.5
Growth 1yr High Est,2.769230769230769
Growth 1yr Consensus Est,5.634615384615385
Growth 2yr Low Est,4.144736842105263
Growth 2yr High Est,1.4662480376766092
Growth 2yr Consensus Est,2.805492439890936
Growth 5yr Low Est,2.763157894736842
Growth 5yr High Est,0.9774986917844061
Growth 5yr Consensus Est,1.8703282932606242
Growth 5yr Actual/Est,2.276905684754522
Growth 3yr Historic,2.3958333333333335
