,PLAB
% Above Low,0.4158
% Held by Institutions,0.9231999999999999
52-Wk Range,['13.16 - 25.81']
Annual Dividend $,
Annual Dividend %,
Ask,18.65
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,18.62
Bid Size,100.0
Day Change $,-0.0585
Day Change %,-0.0031
Day High,18.82
Day Low,18.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.66
Ex-dividend Date,No dividend
Historical Volatility,0.658
Last (size),125.0
Last (time),10:56a ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.25
Prev Close,18.69
Price,18.63
Shares Outstanding,61.7M
Short Interest,0.0217
Today's Open,18.48
Volume Past Day,(Light)
