,PLAB
Price/Earnings (TTM),11.24643
Price/Sales (TTM),1.44924
Price/Book (MRQ),1.33537
Price/Cash Flow (TTM),4.90813
5yr Low,7.2
5yr High,25.81
5yr Avg Return,0.16521666666666668
EPS Growth 5yr,0.0680306
Revenue Growth 5yr,0.0654448
Dividend Growth 5yr,
Short Int Current Month,1294981.0
Short Int Prev Month,1871025.0
Short Int Pct of Float,0.0217325
Days to Cover,2.45441
Float,59.84292
Shares Outstanding,61.68939
Institutions Holding Shares,312.0
% Held by Institutions,0.9232049999999999
FCF Growth 5yr,0.6201815160572838
