,HAL
Price/Earnings (TTM),18.84299
Price/Sales (TTM),1.73845
Price/Book (MRQ),4.33209
Price/Cash Flow (TTM),12.2647
5yr Low,4.25
5yr High,57.86
5yr Avg Return,0.032850000000000004
EPS Growth 5yr,
Revenue Growth 5yr,-0.007566300000000001
Dividend Growth 5yr,-0.2421417
Short Int Current Month,20182591.0
Short Int Prev Month,21683633.0
Short Int Pct of Float,0.0223029
Days to Cover,2.16584
Float,905.3698
Shares Outstanding,908.0468
Institutions Holding Shares,1126.0
% Held by Institutions,0.8229730000000001
FCF Growth 5yr,-2.6132180328659964
