,HAL
% Below High,0.1734
% Held by Institutions,0.823
52-Wk Range,['20.77 - 43.99']
Annual Dividend $,0.48
Annual Dividend %,0.0132
Ask,38.68
Ask Size,3500.0
B/A Ratio,0.11428571428571428
B/A Size,400x3500
Beta,2.2
Bid,36.4
Bid Size,400.0
Closing Price,36.36
Day Change $,-0.2
Day Change %,-0.0055000000000000005
Day High,36.79
Day Low,36.12
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",1.93
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.507
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.84
Prev Close,36.56
Shares Outstanding,908.0M
Short Interest,0.0223
Today's Open,36.37
Volume,2930404.0
Volume 10-day Avg,8648395.0
Volume Past Day,(Light)
