,HAL
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.97
Growth 1yr High Est,0.9035087719298247
Growth 1yr Consensus Est,0.9367543859649123
Growth 2yr Low Est,0.5027664974619289
Growth 2yr High Est,0.7420769666100737
Growth 2yr Consensus Est,0.6224217320360013
Growth 5yr Low Est,0.31746993981765553
Growth 5yr High Est,0.4338090460755996
Growth 5yr Consensus Est,0.3756394929466276
Growth 5yr Actual/Est,0.3801631612115483
Growth 3yr Historic,0.046433002481389596
