,DASH
Price/Earnings (TTM),
Price/Sales (TTM),3.5506
Price/Book (MRQ),3.15457
Price/Cash Flow (TTM),
5yr Low,41.37
5yr High,257.25
5yr Avg Return,-0.26666666666666666
Short Int Current Month,21057431.0
Short Int Prev Month,24582540.0
Short Int Pct of Float,0.0595536
Days to Cover,2.34363
Float,357.9369
Shares Outstanding,388.2173
Institutions Holding Shares,556.0
% Held by Institutions,0.843343
FCF Growth 5yr,-7.315018315018315
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
