,DASH
% Above Low,0.341
% Held by Institutions,0.8432999999999999
52-Wk Range,['41.37 - 189.00']
Annual Dividend $,
Annual Dividend %,
Ask,59.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,55.35
Bid Size,100.0
Closing Price,55.47
Day Change $,-1.11
Day Change %,-0.0196
Day High,56.44
Day Low,55.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.42
Ex-dividend Date,No dividend
Historical Volatility,0.8490000000000001
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,21.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,56.58
Shares Outstanding,388.2M
Short Interest,0.0596
Today's Open,55.69
Volume,1308322.0
Volume 10-day Avg,4932013.0
Volume Past Day,(Light)
