,NJR
Price/Earnings (TTM),17.41088
Price/Sales (TTM),1.64648
Price/Book (MRQ),2.62922
Price/Cash Flow (TTM),12.08257
5yr Low,21.14
5yr High,51.83
5yr Avg Return,0.03138333333333334
EPS Growth 5yr,0.1345857
Revenue Growth 5yr,0.0507666
Dividend Growth 5yr,0.07288599999999999
Short Int Current Month,3297949.0
Short Int Prev Month,4455624.0
Short Int Pct of Float,0.0344073
Days to Cover,7.12254
Float,95.89191
Shares Outstanding,96.3865
Institutions Holding Shares,377.0
% Held by Institutions,0.7392409999999999
FCF Growth 5yr,-1.9180253623188406
