,NJR
% Below High,0.009399999999999999
% Held by Institutions,0.7392
52-Wk Range,['36.77 - 50.11']
Annual Dividend $,1.56
Annual Dividend %,0.031400000000000004
Ask,50.78
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,34.25
Bid Size,100.0
Closing Price,49.64
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.261
Last (size),46.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.41
Prev Close,49.64
Shares Outstanding,96.4M
Short Interest,0.0344
Today's Open,
Volume,268143.0
Volume 10-day Avg,893759.0
Volume Past Day,(Light)
