,AAON
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.17021276595744683
Growth 1yr High Est,0.2152777777777779
Growth 1yr Consensus Est,0.19274527186761237
Growth 2yr Low Est,0.26995486782720823
Growth 2yr High Est,0.3362103174603175
Growth 2yr Consensus Est,0.30308259264376286
Growth 5yr Low Est,0.24103803997421014
Growth 5yr High Est,0.2676197218369548
Growth 5yr Consensus Est,0.2543288809055825
Growth 5yr Actual/Est,0.2764648339159582
Growth 3yr Historic,0.05126199415936586
