,AAON
% Below High,0.062400000000000004
% Held by Institutions,0.7017
52-Wk Range,['47.50 - 83.79']
Annual Dividend $,0.48
Annual Dividend %,0.0060999999999999995
Ask,126.28
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,70.56
Bid Size,300.0
Closing Price,78.56
Day Change $,0.15
Day Change %,0.0019
Day High,79.48
Day Low,78.43
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.26
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.384
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",62.56
Prev Close,78.41
Shares Outstanding,53.2M
Short Interest,0.0158
Today's Open,78.45
Volume,42676.0
Volume 10-day Avg,190222.0
Volume Past Day,(Light)
