,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,1.02,,,0.99,,1.03,,1.01,1.02,,
Year ending 12/2020,Neutral,1.41,,0.38235294117647056,1.41,0.4242424242424241,1.44,0.3980582524271843,1.4249999999999998,1.41,0.38235294117647056,0.4111503383348042
Year ending 12/2021,Negative Surprise,1.16,,-0.17730496453900713,,0.0,,0.0,1.25,1.16,-0.17730496453900713,0.0
Year ending 12/2022,Neutral,,1.7,0.0,1.65,0.17021276595744683,1.75,0.2152777777777779,1.7,1.7,0.4655172413793105,0.19274527186761237
Year ending 12/2023,Neutral,,2.44,0.0,2.26,0.36969696969696964,2.55,0.4571428571428571,2.44,2.44,0.43529411764705883,0.41341991341991335
