,MDU
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.04864864864864871
Growth 1yr High Est,-0.08121827411167504
Growth 1yr Consensus Est,-0.06493346138016187
Growth 2yr Low Est,0.08647113022113012
Growth 2yr High Est,0.06712566957399674
Growth 2yr Consensus Est,0.07679839989756343
Growth 5yr Low Est,0.05764742014742008
Growth 5yr High Est,0.04475044638266449
Growth 5yr Consensus Est,0.05119893326504229
Growth 5yr Actual/Est,0.0723528179245298
Growth 3yr Historic,0.028205128205128244
