,ALHC
% Above Low,0.9642000000000001
% Held by Institutions,0.8336
52-Wk Range,['6.14 - 19.17']
Annual Dividend $,
Annual Dividend %,
Ask,13.91
Ask Size,2800.0
B/A Ratio,0.07142857142857142
B/A Size,200x2800
Beta,
Bid,11.09
Bid Size,200.0
Closing Price,12.06
Day Change $,0.49
Day Change %,0.0424
Day High,12.09
Day Low,11.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.7000000000000001
Last (size),40.0
Last (time),1:00p ET 11/25/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.57
Shares Outstanding,187.3M
Short Interest,0.0298
Today's Open,11.58
Volume,514498.0
Volume 10-day Avg,635665.0
Volume Past Day,(Below Average)
