,ALHC
Price/Earnings (TTM),
Price/Sales (TTM),1.6477
Price/Book (MRQ),8.29856
Price/Cash Flow (TTM),
5yr Low,6.14
5yr High,28.59
5yr Avg Return,-0.2051
Short Int Current Month,2797887.0
Short Int Prev Month,3532910.0
Short Int Pct of Float,0.029800300000000002
Days to Cover,3.92079
Float,172.804
Shares Outstanding,187.261
Institutions Holding Shares,203.0
% Held by Institutions,0.8335819999999999
FCF Growth 5yr,-3.0940174179397677
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
