,HIPO
Price/Earnings (TTM),
Price/Sales (TTM),2.94443
Price/Book (MRQ),0.53785
Price/Cash Flow (TTM),
5yr Low,12.77
5yr High,376.25
5yr Avg Return,-0.7701499999999999
Short Int Current Month,933058.0
Short Int Prev Month,944437.0
Short Int Pct of Float,0.0508023
Days to Cover,8.11475
Float,18.35722
Shares Outstanding,23.06237
Institutions Holding Shares,97.0
% Held by Institutions,0.725611
FCF Growth 5yr,0.158461749626874
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
